date,temp_max_c,temp_min_c,precipitation_mm,windspeed_max_kmh,temp_avg_c,month
2026-03-06,12.4,8.8,0.1,30.9,10.600000000000001,2026-03
2026-03-07,17.6,9.9,0.0,21.6,13.75,2026-03
2026-03-08,16.0,9.9,0.4,17.3,12.95,2026-03
2026-03-09,12.7,8.8,0.7,21.8,10.75,2026-03
2026-03-10,14.6,8.9,1.1,21.3,11.75,2026-03
2026-03-11,18.6,9.0,0.0,9.7,13.8,2026-03
2026-03-12,19.3,10.7,0.0,12.9,15.0,2026-03
2026-03-13,17.1,10.6,0.0,13.6,13.850000000000001,2026-03
2026-03-14,15.0,12.0,0.0,16.3,13.5,2026-03
2026-03-15,17.0,11.8,0.0,22.0,14.4,2026-03
2026-03-16,22.2,12.1,0.0,12.5,17.15,2026-03
2026-03-17,21.0,12.0,1.4,25.2,16.5,2026-03
2026-03-18,17.7,13.7,11.8,21.4,15.7,2026-03
2026-03-19,15.5,13.3,27.8,20.9,14.4,2026-03
2026-03-20,16.2,12.9,18.5,15.3,14.55,2026-03
2026-03-21,18.8,13.4,9.4,14.0,16.1,2026-03
2026-03-22,19.5,12.7,1.7,11.0,16.1,2026-03
2026-03-23,22.0,11.0,0.0,6.7,16.5,2026-03
2026-03-24,21.6,14.4,0.0,11.6,18.0,2026-03
2026-03-25,22.4,13.1,0.0,18.2,17.75,2026-03
2026-03-26,21.5,13.4,0.0,23.0,17.45,2026-03
2026-03-27,21.2,12.4,0.0,21.7,16.8,2026-03
2026-03-28,22.1,14.2,0.0,19.3,18.15,2026-03
2026-03-29,20.5,12.2,0.0,22.4,16.35,2026-03
2026-03-30,21.4,10.9,0.0,19.4,16.15,2026-03
2026-03-31,25.2,14.6,0.0,16.1,19.9,2026-03
2026-04-01,23.6,14.9,0.0,20.4,19.25,2026-04
2026-04-02,22.7,13.0,0.0,20.2,17.85,2026-04
2026-04-03,24.4,11.9,0.0,12.3,18.15,2026-04
2026-04-04,25.1,15.3,0.0,11.4,20.200000000000003,2026-04
2026-04-05,26.2,15.3,0.0,10.8,20.75,2026-04
2026-04-06,23.5,15.5,7.5,25.8,19.5,2026-04
2026-04-07,16.5,11.2,7.7,21.1,13.85,2026-04
2026-04-08,16.3,9.5,2.8,15.0,12.9,2026-04
2026-04-09,21.7,12.1,0.0,17.8,16.9,2026-04
2026-04-10,22.2,15.3,0.1,13.8,18.75,2026-04
2026-04-11,16.6,11.7,0.0,29.1,14.15,2026-04
2026-04-12,15.4,11.2,0.0,27.3,13.3,2026-04
2026-04-13,16.0,10.9,0.1,14.0,13.45,2026-04
2026-04-14,19.0,13.1,0.0,12.4,16.05,2026-04
2026-04-15,19.5,12.6,0.0,13.9,16.05,2026-04
2026-04-16,23.0,12.8,0.0,13.7,17.9,2026-04
2026-04-17,26.0,12.2,0.0,16.7,19.1,2026-04
2026-04-18,25.0,13.9,0.0,12.5,19.45,2026-04
2026-04-19,24.2,14.3,0.0,11.5,19.25,2026-04
2026-04-20,26.0,14.2,0.0,13.4,20.1,2026-04
2026-04-21,20.6,14.5,0.0,22.7,17.55,2026-04
2026-04-22,19.6,13.2,0.0,12.1,16.4,2026-04
2026-04-23,19.3,12.7,0.0,16.3,16.0,2026-04
2026-04-24,21.8,13.2,0.0,15.9,17.5,2026-04
2026-04-25,23.9,14.0,0.0,18.9,18.95,2026-04
2026-04-26,26.5,15.5,0.1,20.3,21.0,2026-04
2026-04-27,27.1,16.5,0.2,14.7,21.8,2026-04
2026-04-28,22.4,15.8,0.0,12.0,19.1,2026-04
2026-04-29,17.7,15.1,0.8,19.9,16.4,2026-04
2026-04-30,19.5,14.7,0.0,13.1,17.1,2026-04
2026-05-01,19.9,12.5,0.0,13.4,16.2,2026-05
2026-05-02,19.4,14.4,1.2,15.8,16.9,2026-05
2026-05-03,18.5,13.8,0.4,13.2,16.15,2026-05
2026-05-04,19.0,12.6,0.2,18.6,15.8,2026-05
2026-05-05,19.0,12.4,0.0,18.5,15.7,2026-05
2026-05-06,18.8,12.7,0.1,19.6,15.75,2026-05
2026-05-07,18.7,12.5,0.0,14.8,15.6,2026-05
2026-05-08,19.5,13.2,3.2,19.8,16.35,2026-05
2026-05-09,16.3,14.4,31.7,21.0,15.350000000000001,2026-05
2026-05-10,17.2,13.6,7.7,23.2,15.399999999999999,2026-05
2026-05-11,17.8,14.7,3.7,18.4,16.25,2026-05
